Oliveira-de-Souza,2019;IFNA P01562;IFNB P01574;IL-1RI  P14778;TNFA P01375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Liu,2018;ORM2 P19652;S100A9 P06702;IL‑36A  Q9UHA7;SOD1 P00441;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Wang,2018;mannose-bindinglectin2 O00187;inter-alpha-trypsininhibitorH4 Q14624;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sun, 2018;ACT Q562L6;AGP1 P02763;CDH1 P12830;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lubbers,2018;C1q NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Santos,2018;IFNG P01579;IP-10 P02778;ADA P00813;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Feng,2018;sTREM-1 Q9NP99;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kashyap,2018;IFN-γ P01579;IL-2 P60568;IFNG P01579;IL-2 P60568; neopterin NULL; proteincarbonyl  NULL; MDA NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
De Groote,2017;SYWC P23381;kallistatin P29622;complementC9 P02748;gelsolin P06396;testican-2 Q92563;aldolaseC P09972;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bark,2017;CLEC3B P05452;ECM1 Q16610;IGFALS P35858;SELL P14151;IGFBP3 P17936;VWF P04275;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Jiang,2017;SAA NULL;PROZ P22891;C4BPB P20851;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Almani,2017;ENO-2 P09104;CRP P02741; cholestrol NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Kamakia,2017;IL-17F Q96PD4;MIP-3A P78556;IL-13 P35225;IL-17A Q16552;IL-5 P05113;IL-9 P15248;IL-1B  P01584;IL-2 P60568;IFN-G P01579;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Goyal,2017;neopterin NULL; proteincarbonyl  NULL; MDA NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Lai,2016;transferrin  P02787; urease NULL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Adewole,2016;LV302 NULL;IGLL5 B9A064;E9PIT3 E9PIT3;SA22 NULL;HRG P04196;ITIH4 Q14624;KV101 NULL;F5H1A8 P06396;HBB P68871;LV102 NULL;AMBP P02760;C1QC P02747;C1R P00736;LV301 P01715;ANGT P01019;LYPD3 O95274;APOE P02649;CRP P02741;VWF P04275;PEDF P36955;CO7 P10643;APOD P05090;D6RD17 D6RD17;LBP P18428;AFAM P43652;CFAI P05156
